datetime,temperature,humidity
2026-04-07 15:00:00,32.57,23
2026-04-07 18:00:00,30.34,22
2026-04-07 21:00:00,27.26,24
2026-04-08 00:00:00,25.97,26
2026-04-08 03:00:00,28.07,22
2026-04-08 06:00:00,34.9,18
2026-04-08 09:00:00,36.73,15
2026-04-08 12:00:00,36.4,15
2026-04-08 15:00:00,32.96,18
2026-04-08 18:00:00,30.6,21
2026-04-08 21:00:00,28.61,23
2026-04-09 00:00:00,26.76,33
2026-04-09 03:00:00,30.48,25
2026-04-09 06:00:00,34.73,20
2026-04-09 09:00:00,36.83,17
2026-04-09 12:00:00,36.09,15
2026-04-09 15:00:00,32.34,18
2026-04-09 18:00:00,30.18,18
2026-04-09 21:00:00,27.7,20
2026-04-10 00:00:00,26.04,24
2026-04-10 03:00:00,31.43,18
2026-04-10 06:00:00,36.27,13
2026-04-10 09:00:00,38.22,10
2026-04-10 12:00:00,37.41,10
2026-04-10 15:00:00,32.62,12
2026-04-10 18:00:00,30.21,15
2026-04-10 21:00:00,27.3,18
2026-04-11 00:00:00,25.26,49
2026-04-11 03:00:00,29.96,38
2026-04-11 06:00:00,36.07,16
2026-04-11 09:00:00,38.63,9
2026-04-11 12:00:00,38.12,8
2026-04-11 15:00:00,32.76,10
2026-04-11 18:00:00,30.47,12
2026-04-11 21:00:00,27.84,14
2026-04-12 00:00:00,26.22,36
2026-04-12 03:00:00,31.65,30
2026-04-12 06:00:00,37.31,14
2026-04-12 09:00:00,39.58,9
2026-04-12 12:00:00,39.01,8
